No.,Channel Name,Receive Frequency,Transmit Frequency,Channel Type,Transmit Power,Band Width,CTCSS/DCS Decode,CTCSS/DCS Encode,Contact,Contact Call Type,Contact TG/DMR ID,Radio ID,Busy Lock/TX Permit,Squelch Mode,Optional Signal,DTMF ID,2Tone ID,5Tone ID,PTT ID,Color Code,Slot,Scan List,Receive Group List,TX Prohibit,Reverse,Simplex TDMA,TDMA Adaptive,AES Digital Encryption,Digital Encryption,Call Confirmation,Talk Around,Work Alone,Custom CTCSS,2TONE Decode,Ranging,Through Mode,Digi APRS RX,Analog APRS PTT Mode,Digital APRS PTT Mode,APRS Report Type,Digital APRS Report Channel,Correct Frequency[Hz],SMS Confirmation,Exclude channel from roaming,DMR MODE,DataACK Disable,R5toneBot,R5ToneEot,Auto Scan,Ana Aprs Mute,Send Talker Alias
304,3RGL World Eng,439.5,434.5,D-Digital,High,12.5K,Off,Off,Worldwide Eng,Group Call,13,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
306,3RGV AU,438.9,431.9,D-Digital,High,12.5K,Off,Off,AU,Group Call,505,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
307,3RGV ACT,438.9,431.9,D-Digital,High,12.5K,Off,Off,ACT,Group Call,3801,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
308,3RGV NSW,438.9,431.9,D-Digital,High,12.5K,Off,Off,NSW,Group Call,3802,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
309,3RGV Vic,438.9,431.9,D-Digital,High,12.5K,Off,Off,Vic,Group Call,3803,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
310,3RGV Qld,438.9,431.9,D-Digital,High,12.5K,Off,Off,Qld,Group Call,3804,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
311,3RGV SA,438.9,431.9,D-Digital,High,12.5K,Off,Off,SA,Group Call,3805,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
312,3RGV WA,438.9,431.9,D-Digital,High,12.5K,Off,Off,WA,Group Call,3806,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
313,3RGV Tas,438.9,431.9,D-Digital,High,12.5K,Off,Off,Tas,Group Call,3807,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
314,3RGV NT,438.9,431.9,D-Digital,High,12.5K,Off,Off,NT,Group Call,3808,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
315,3RGV Local,438.9,431.9,D-Digital,High,12.5K,Off,Off,Local,Group Call,9,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
316,3RGV State Link,438.9,431.9,D-Digital,High,12.5K,Off,Off,Worldwide,Group Call,1,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
317,3RGV AU Nets,438.9,431.9,D-Digital,High,12.5K,Off,Off,AU Nets,Group Call,5,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
318,3RGV AU Repeat 1,438.9,431.9,D-Digital,High,12.5K,Off,Off,AU Repeater 1,Group Call,3809,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
319,3RGV AU Repeat 2,438.9,431.9,D-Digital,High,12.5K,Off,Off,AU Repeater 2,Group Call,3810,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
320,3RGV User Act 1,438.9,431.9,D-Digital,High,12.5K,Off,Off,User Act Eng 1,Group Call,113,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
321,3RGV User Act 2,438.9,431.9,D-Digital,High,12.5K,Off,Off,User Act Eng 2,Group Call,123,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
322,3RGV World Eng,438.9,431.9,D-Digital,High,12.5K,Off,Off,Worldwide Eng,Group Call,13,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
324,3RHD AU,438.325,431.325,D-Digital,High,12.5K,Off,Off,AU,Group Call,505,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
325,3RHD ACT,438.325,431.325,D-Digital,High,12.5K,Off,Off,ACT,Group Call,3801,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
326,3RHD BM ACT,438.325,431.325,D-Digital,High,12.5K,Off,Off,BM ACT,Group Call,5051,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
327,3RHD NSW,438.325,431.325,D-Digital,High,12.5K,Off,Off,NSW,Group Call,3802,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
328,3RHD BM NSW,438.325,431.325,D-Digital,High,12.5K,Off,Off,BM NSW,Group Call,5052,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
329,3RHD Vic,438.325,431.325,D-Digital,High,12.5K,Off,Off,Vic,Group Call,3803,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
330,3RHD BM Vic,438.325,431.325,D-Digital,High,12.5K,Off,Off,BM Vic,Group Call,5053,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
331,3RHD Qld,438.325,431.325,D-Digital,High,12.5K,Off,Off,Qld,Group Call,3804,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
332,3RHD BM Qld,438.325,431.325,D-Digital,High,12.5K,Off,Off,BM Qld,Group Call,5054,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
333,3RHD SA,438.325,431.325,D-Digital,High,12.5K,Off,Off,SA,Group Call,3805,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
334,3RHD BM SA,438.325,431.325,D-Digital,High,12.5K,Off,Off,BM SA,Group Call,5055,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
335,3RHD WA,438.325,431.325,D-Digital,High,12.5K,Off,Off,WA,Group Call,3806,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
336,3RHD BM WA,438.325,431.325,D-Digital,High,12.5K,Off,Off,BM WA,Group Call,5056,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
337,3RHD Tas,438.325,431.325,D-Digital,High,12.5K,Off,Off,Tas,Group Call,3807,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
338,3RHD BM Tas,438.325,431.325,D-Digital,High,12.5K,Off,Off,BM Tas,Group Call,5057,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
339,3RHD NT,438.325,431.325,D-Digital,High,12.5K,Off,Off,NT,Group Call,3808,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
340,3RHD BM NT,438.325,431.325,D-Digital,High,12.5K,Off,Off,BM NT,Group Call,5058,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
341,3RHD Local,438.325,431.325,D-Digital,High,12.5K,Off,Off,Local,Group Call,9,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
342,3RHD State Link,438.325,431.325,D-Digital,High,12.5K,Off,Off,Worldwide,Group Call,1,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
343,3RHD AU Nets,438.325,431.325,D-Digital,High,12.5K,Off,Off,AU Nets,Group Call,5,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
344,3RHD AU Repeat 1,438.325,431.325,D-Digital,High,12.5K,Off,Off,AU Repeater 1,Group Call,3809,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
345,3RHD AU Repeat 2,438.325,431.325,D-Digital,High,12.5K,Off,Off,AU Repeater 2,Group Call,3810,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
346,3RHD User Act 1,438.325,431.325,D-Digital,High,12.5K,Off,Off,User Act Eng 1,Group Call,113,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
347,3RHD User Act 2,438.325,431.325,D-Digital,High,12.5K,Off,Off,User Act Eng 2,Group Call,123,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
348,3RHD BM Pac Rim,438.325,431.325,D-Digital,High,12.5K,Off,Off,Worldwide,Group Call,1,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
349,3RHD World Eng,438.325,431.325,D-Digital,High,12.5K,Off,Off,Worldwide Eng,Group Call,13,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
350,3RHD BM World,438.325,431.325,D-Digital,High,12.5K,Off,Off,BM Worldwide,Group Call,91,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
351,3RHD BM Wrld Eng,438.325,431.325,D-Digital,High,12.5K,Off,Off,BM Worldwide Eng,Group Call,913,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
352,3RHD BM Eur Eng,438.325,431.325,D-Digital,High,12.5K,Off,Off,BM Europe Eng,Group Call,923,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
354,3RMC AU,439.375,434.375,D-Digital,High,12.5K,Off,Off,AU,Group Call,505,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
355,3RMC ACT,439.375,434.375,D-Digital,High,12.5K,Off,Off,ACT,Group Call,3801,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
356,3RMC NSW,439.375,434.375,D-Digital,High,12.5K,Off,Off,NSW,Group Call,3802,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
357,3RMC Vic,439.375,434.375,D-Digital,High,12.5K,Off,Off,Vic,Group Call,3803,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
358,3RMC Qld,439.375,434.375,D-Digital,High,12.5K,Off,Off,Qld,Group Call,3804,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
359,3RMC SA,439.375,434.375,D-Digital,High,12.5K,Off,Off,SA,Group Call,3805,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
360,3RMC WA,439.375,434.375,D-Digital,High,12.5K,Off,Off,WA,Group Call,3806,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
361,3RMC Tas,439.375,434.375,D-Digital,High,12.5K,Off,Off,Tas,Group Call,3807,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
362,3RMC NT,439.375,434.375,D-Digital,High,12.5K,Off,Off,NT,Group Call,3808,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
363,3RMC Local,439.375,434.375,D-Digital,High,12.5K,Off,Off,Local,Group Call,9,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
364,3RMC State Link,439.375,434.375,D-Digital,High,12.5K,Off,Off,Worldwide,Group Call,1,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
365,3RMC AU Nets,439.375,434.375,D-Digital,High,12.5K,Off,Off,AU Nets,Group Call,5,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
366,3RMC AU Repeat 1,439.375,434.375,D-Digital,High,12.5K,Off,Off,AU Repeater 1,Group Call,3809,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
367,3RMC AU Repeat 2,439.375,434.375,D-Digital,High,12.5K,Off,Off,AU Repeater 2,Group Call,3810,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
368,3RMC User Act 1,439.375,434.375,D-Digital,High,12.5K,Off,Off,User Act Eng 1,Group Call,113,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
369,3RMC User Act 2,439.375,434.375,D-Digital,High,12.5K,Off,Off,User Act Eng 2,Group Call,123,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
370,3RMC World Eng,439.375,434.375,D-Digital,High,12.5K,Off,Off,Worldwide Eng,Group Call,13,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
372,3RPS AU,439.925,434.725,D-Digital,High,12.5K,Off,Off,AU,Group Call,505,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
373,3RPS ACT,439.925,434.725,D-Digital,High,12.5K,Off,Off,ACT,Group Call,3801,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
374,3RPS NSW,439.925,434.725,D-Digital,High,12.5K,Off,Off,NSW,Group Call,3802,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
375,3RPS Vic,439.925,434.725,D-Digital,High,12.5K,Off,Off,Vic,Group Call,3803,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
376,3RPS Qld,439.925,434.725,D-Digital,High,12.5K,Off,Off,Qld,Group Call,3804,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
377,3RPS SA,439.925,434.725,D-Digital,High,12.5K,Off,Off,SA,Group Call,3805,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
378,3RPS WA,439.925,434.725,D-Digital,High,12.5K,Off,Off,WA,Group Call,3806,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
379,3RPS Tas,439.925,434.725,D-Digital,High,12.5K,Off,Off,Tas,Group Call,3807,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
380,3RPS NT,439.925,434.725,D-Digital,High,12.5K,Off,Off,NT,Group Call,3808,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
381,3RPS Local,439.925,434.725,D-Digital,High,12.5K,Off,Off,Local,Group Call,9,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
382,3RPS State Link,439.925,434.725,D-Digital,High,12.5K,Off,Off,Worldwide,Group Call,1,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
383,3RPS AU Nets,439.925,434.725,D-Digital,High,12.5K,Off,Off,AU Nets,Group Call,5,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
384,3RPS AU Repeat 1,439.925,434.725,D-Digital,High,12.5K,Off,Off,AU Repeater 1,Group Call,3809,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
385,3RPS AU Repeat 2,439.925,434.725,D-Digital,High,12.5K,Off,Off,AU Repeater 2,Group Call,3810,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
386,3RPS User Act 1,439.925,434.725,D-Digital,High,12.5K,Off,Off,User Act Eng 1,Group Call,113,VKXXXX Name,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0,0,0,0
